hole_number,from,to,base_lithology,litho_detailed,lith_general,lith_grain_size,lith_texture1,lith_texture2,lith_texture3,lith_description,alt_from_m,alt_to_m,dominant_alteration,intensity,dominant_alt_mins,min_from_m,min_to_m,py_pct_nv,ccp_pct_nv,bn_pct_nv,interval_type
AXE-23-014,416.36,429.88,AND,AND,VCB,FG,POR,,,"REPEAT OF AND LITH. CONTAINS 10-15CM CLASTS OF MZN LITH. POSSIBLE ORDER OF EVENTS: INTRUSIVE MZN BODY FORMS, WEATHERING+EROSION TAKES PLACE, AND LITH FLOWS AROUND MZN OUTCROPS WHILE ALSO BREAKING OFF AND INCORPORATING CLASTS OF MZN, TILTING OF MZN + AND LITHS CREATING VERTICALLY ALTERNATING LITHS. BUT WHY IS MZN POT ALTERED WHEN AND LITH LARGELY ISNT? DID MZN ENABLE POT VEIN DIFFUSION? MZN-AND LITH CONTACTS ARE OFTEN SHARP + UNDULATING W/ NO EVIDENCE OF FAULTING. DATING OF MZN+AND LITHS WILL TELL US MORE ABOUT LITH RELATIONSHIPS.",,,,,,,,,,,Lithology
AXE-23-014,429.88,432.71,MZN,MZN,INT,MG,SER,,,"AND FLOW RICH IN MZN CLASTS (MZN CLASTS FORMING >80% OF THIS SECTION). CONTRARY TO PREVIOUS MZN-CLAST-RICH SECTIONS, CCP DUSTING+SULFIDE VEINS REMAIN HIGH. LOCAL DECREASE IN MAG ALT IN MZN CLASTS.",,,,,,,,,,,Lithology
AXE-23-014,432.71,491.0,AND,AND,VCB,FG,POR,,,REPEAT OF AND LITH. CONTAINS 5-10CM ANGULAR MZN CLASTS DECREASING IN OCCURRENCE WITH DEPTH.,,,,,,,,,,,Lithology
AXE-23-015,0.0,36.0,CAS,,NC,,,,,,,,,,,,,,,,Lithology
AXE-23-015,58.0,70.0,CL,,,,,,,TRICONED DUE TO BAD GROUND. CASING ADVANCED.,,,,,,,,,,,Lithology
AXE-23-016,0.0,57.0,CAS,CAS,NC,,,,,,,,,,,,,,,,Lithology
AXE-23-016,104.0,108.0,CL,CL,,,,,,CASING ADVANCED.,,,,,,,,,,,Lithology
AXE-23-016,110.0,123.0,CL,CL,,,,,,"CASING ADVANCED, CLAY AND SAND SEAM.",,,,,,,,,,,Lithology
AXE-23-017,57.0,66.0,CL,CL,,,,,,,,,,,,,,,,,Lithology
AXE-23-017,425.7,428.1,MAD,MAD,DYK,FG,POR,CHL,,SAME OLIVE GREEN ANDESITE DYKE AS ABOVE. TOP ~30CM LOOKS TO HAVE PIECES OF DIORITE AND POSSIBLY THE FELSIC DYKE,,,,,,,,,,,Lithology
AXE-23-018,0.0,48.0,CAS,CL,NC,,,,,"OVERBURDEN, CASED AT 48M, NO CORE RECOVERED",,,,,,,,,,,Lithology
AXE-23-019,0.0,66.0,CAS,CAS,,,,,,,,,,,,,,,,,Lithology
AXE-23-019,68.0,72.0,CL,CL,,,,,,TRICONE AND ADVANCING CASING,,,,,,,,,,,Lithology
AXE-23-021,0.0,24.0,CAS,CAS,,,,,,,,,,,,,,,,,Lithology
AXE-23-021,38.0,51.0,CL,CL,,,,,,CASING ADVANCED. BAD GROUND. TRICONED.,,,,,,,,,,,Lithology
AXE-23-021,77.0,86.0,CL,CL,,,,,,CASING ADVANCED. BAD GROUND. TRICONED.,,,,,,,,,,,Lithology
MPD-23-001,0.0,21.0,CL,CL,,,,,,BEDROCK AT SURFACE.,,,,,,,,,,,Lithology
MPD-23-002,0.0,28.55,CAS,CAS,,,,,,CASING TO 28.55.,,,,,,,,,,,Lithology
MPD-23-003,0.0,27.0,CL,CL,NC,,,,,"NO CORE RECOVERED, HIT BEDROCK AT 27M.",,,,,,,,,,,Lithology
MPD-23-003,38.0,39.0,CL,CL,NC,,,,,PUSHED CASING TO 39M. NO CORE RECOVERED.,,,,,,,,,,,Lithology
MPD-23-005,0.0,54.0,CL,CL,NC,,,,,NO CORE RECOVERED. CASING UP TO 54M.,,,,,,,,,,,Lithology
MPD-23-006,0.0,42.0,CAS,CAS,NC,,,,,,,,,,,,,,,,Lithology
MPD-23-006,734.8,761.7,DIO,DIO,MBX,MG,,,,"INTERVAL STARTED WITH MONOMICTIC, CLAST SUPPORTED, KSPAR ALTERED MAG BXA. CLASTS ARE KSPAR ALTERED SET IN A ROCK FLOUR MATRIX.. CONTINUED DRILLING ON POTASSIC (KSPAR+BT+ACT) ) ALTERATION WHICH RETROGRADED TO PHYLLIC (SER>SIL>PY) ALTERATION, DIORITE. INTERVAL LOOKS TO BE HIGH ENERGY, POSSIBLY INTRUSION BRECCIA, MATRIX SUPPORTED, MONOMICTIC, SUBROUNDED CLASTS SET IN A ROCKFLOUR DARK MATRIX. FROM 737.6M OBSERVED A QTZ+SER+PY VEIN/STOCKWORK WITH KSPAR+BT HALO OBSERVED UNTIL 738.2M. CALCITE STRINGERS AND FRACTURE FILLS ALSO NOTED. 20% MED GRAINED PY DISSEMINATIONS, AS STRINGERS AND REPLACEMENT TO BT ALSO OBSERVED. FROM 751.74M, ENCOUNTERED A MONOMICT, FBX WITH CALCITE ON FRACTURES (POSSIBLY CEMENTED THE RK TOGETHER) FG PY DISSEMINATIONS AND STRINGERS OBSERVED UNTIL 752.38M. TOP CONTACT 60DTCA. ENCOUNTERED A MONOMICTIC, CLAST SUPPORED, MOD SORTED, SUBROUNDED HBX. KSPAR ALT CLASTS AND LIGHT GRY MASSIVE QTZ AS MATRIX, RETROGRADED TO PHYLLIC ALTERATION WITH CARB FILLINGS. 20% PY DISSEMINATIONS OBSERVED FROM 760.6M.",,,,,,,,,,,Lithology
MPD-23-007,0.0,48.0,CAS,CAS,NC,,,,,NO CORE RECOVERED. CASING TILL 48M.,,,,,,,,,,,Lithology
MPD-23-008,0.0,6.0,CAS,CAS,NC,,,,,CASING TO 6M. NO CORE RECOVERED.,,,,,,,,,,,Lithology
MPD-23-008,12.0,18.0,CL,CL,NC,,,,,TRI-CONED. NO CORE RECOVERED.,,,,,,,,,,,Lithology
MPD-23-009,0.0,60.0,CAS,CAS,NC,,,,,HIT CORE AT 54M. TRI-CONED TO UP TO 60M. NO CORE RECOVERED.,,,,,,,,,,,Lithology
MPD-23-010,0.0,6.0,CAS,CAS,,,,,,,,,,,,,,,,,Lithology
MPD-23-010,265.42,269.15,GND,GND,DYK,MCG,POR,,,SIMILAR GRANODIORITE DYKE,,,,,,,,,,,Lithology
MPD-23-012,0.0,9.9,CAS,CAS,NC,,,,,,,,,,,,,,,,Lithology
