,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
,,,,,,,,,,,536.3,543.14,PHY,3,Ser,,,,,
MPD-23-002,543.14,599.06,DIO,DIO,INT,FG,SER,XEN,,"PLAGIOCLASE-HORNBLENDE SERIC PHYRIC DIORITE  Grey-green, melanocratic/medium-to-dark, fine-grained, Xenolithic Plagioclase(2-3mm)-Hornblende(1mm) seric-phyric Diorite. Xenoliths of angular-rounded, 0.5-4cm Diorite wall rock observed throughout the interval with sections of pseudo breccia due to Propylitic alteration. Groundmass mineralization consists of trace disseminated Pyrite, Magnetite blebs and trace Chalcopyrite-Pyrite blebs. Veining dominated by Type V8 semi-translucent Quartz veins most of which are barren with few veins contain trace Chalcopyrite. Other veins include Quartz-Carbonate veins and Type V6 Late Calcite stringers. Fracture infill Magnetite veins from previous intervals are present but do not host any significant mineralization. Primary Propylitic alteration Sericite/Chlorite after groundmass/phenocrysts remains dominate with patchy sections of Hematite staining.",543.14,545.85,ARG,3,Clay,545.85,580.49,0.02,0.01,0
,,,,,,,,,,,545.85,599.06,PRO,3,Chl,580.49,599.06,0.01,0,0
MPD-23-002,599.06,625.5,GND,GND,DYK,CG,SER,POR,,"WILDHORSE GRANODIORITE  Red-beige, mesocratic, coarse-grained, Plagioclase-Hornblende(1-2mm)-K-Spar(3-4mm) seric-phyric, Granodiorite, interpreted to be the Wild Horse Granodiorite. Mineralization mostly non-existent with few sections of trace Chalcopyrite within fracture infill magnetite veinlets. Magnetite blebs with groundmass and replacing Hornblende phenocrysts, Veining consists solely of non mineralized Type V6 late Calcite stringers +/- Hematite staining. Like in past intervals of Wildhorse Granodiorite, the lithology is Dominated by Hematite/Potassic staining of groundmass and phenocrysts. Few localized sections of Sericitization of phenocrysts.",599.06,625.5,PHY,3,Ser,599.06,625.5,0.01,0,0
MPD-23-002,625.5,652.73,DIO,DIO,INT,FG,SER,XEN,,"PLAGIOCLASE-HORNBLENDE SERIC PHYRIC DIORITE  Green-brown, mesocratic, medium, fine-grained, Xenolithic Plagioclase(2-3mm)-Hornblende(1mm) seric-phyric Diorite. Xenoliths of angular-rounded, 0.5-4cm Diorite wall rock/Granodiorite clasts observed throughout the interval with sections of pseudo breccia due to Propylitic alteration. Groundmass mineralization consists of trace disseminated Pyrite, Magnetite blebs +/- Pyrite after Hornblende phenocrysts. Veining dominated by non-mineralized Type V6 Late Calcite stringers/fracture infill + Sericite,+/- Hematite staining and barren Quartz veins +/-Epidote and Hematite staining. Fracture infill Magnetite veins also present with Hematite, and trace Pyrite and Chalcopyrite. Primary Propylitic alteration consisting of Sericite/Chlorite after groundmass and phenocrysts + patches of weak-to-moderate Hematite staining.",625.5,652.73,PRO,3,Chl+/-ep,625.5,652.73,0.01,0,0
MPD-23-002,652.73,685.32,GND,GND,DYK,CG,SER,POR,,"WILDHORSE GRANODIORITE UPDATE  Red-beige, mesocratic, coarse-grained, Plagioclase-Hornblende(1-2mm)-K-Spar(3-4mm) seric-phyric, Granodiorite, interpreted to be the Wild Horse Granodiorite. Zones of brecciation and shearing are found throughout the section often accompanies by clasts of Granodiorite wall rock. Mineralization mostly non-existent with few sections of trace Chalcopyrite within fracture infill magnetite veinlets. Magnetite blebs with groundmass and replacing Hornblende phenocrysts, Veining consists of non mineralized Type V6 late Calcite stringers/fracture infill +/- Hematite staining and fracture infill Magnetite/Hematite stringers within groundmass and fracture surfaces. Within zones of brecciation and shearing, both vein types are observed to undulate and fill in fractures and cavities. Some Magnetite veins are shown to be altered into Hematite. Like in past intervals of Wildhorse Granodiorite, the lithology is Dominated by Hematite/Potassic staining of groundmass and phenocrysts. Few localized sections of Sericitization of phenocrysts.",652.73,685.32,PHY,2,Ser,652.73,685.32,0.01,0,0
MPD-23-002,685.32,697.36,DIO,DIO,INT,,,,,"PLAGIOCLASE-HORNBLENDE SERIC PHYRIC DIORITE  Grey-green, melanocratic/medium-to-dark, fine-grained, Xenolithic Plagioclase(2-3mm)-Hornblende(1mm) seric-phyric Diorite. Xenoliths of angular-rounded, 0.5-4cm Diorite wall rock observed throughout the interval with sections of pseudo breccia due to Propylitic alteration. Groundmass mineralization consists of trace disseminated Pyrite, Magnetite blebs and trace Chalcopyrite-Pyrite blebs. Veining dominated by Type V8 semi-translucent Quartz veins most of which are barren with few veins contain trace Chalcopyrite. Other veins include Quartz-Carbonate veins and Type V6 Late Calcite stringers. Fracture infill Magnetite veins from previous intervals are present but do not host any significant mineralization. Primary Propylitic alteration Sericite/Chlorite after groundmass/phenocrysts remains dominate with patchy sections of Hematite staining.",685.32,697.36,PRO,4,Chl,685.32,697.36,0.02,0.01,0
MPD-23-002,697.36,700.45,MAD,MAD,DYK,FG,POR,,,"HORNBLENDE ANDESITE DYKE  green to grey, fine grained matrix with hbl phenocrysts. Phenos ~1mm in size. Phenos are generally altered to chlorite.  Alt assemblage of chlorite+-hem on some phenos. Wht massive calcite veinlets observed within the interval.",697.36,700.45,PRO,4,Chl,697.36,700.45,0,0,0
MPD-23-002,700.45,720.57,DIO,DIO,INT,FG,,,,"grey to green, fine grained, prop alt diorite.  Alt assemblage of chl>carb>epi+-hem stains. Chlorite is pervasive, generally on dark minerals, while epidote comes in patches replacing some of the phenocrysts. Carbonate as fracture fill observed.  Phenocrysts of hbl+plag+-orange pink possibly kspar? Observed size ranges from 1 to 2mm.  Interval looks weakly to moderately fractured healed with calcite veins. Fg massive py disseminations and some occurs as stringers observed within the interval. From 720.47 to 720.57m an undulating texture is noted, possibly a contact between two lithologies where it transitioned to a medium grained diorite.",700.45,720.57,PRO,4,Chl+/-ep,700.45,720.57,0.5,0,0
MPD-23-002,720.57,726.39,GND,GND,DYK,FMG,,,,"green to grey, fine to medium grained, prop alt granodiorite?  Alt assemblage of chl>carb>hem chlorite+carb alt pervasive with cal replacement on some phenos. Hematite staining and veining observed as well. Phenos sizes 1-2mm, crowded, euhedral, consists of hbl+plag+minor kspar+-qtz wht massive calcite vein noted from 723.5m to 723.9m with fg massive pyrite disseminations - in this interval kspar (vein?) is also observed. A minor vertical ~5mm fault (bxa?) with gouge observed from 725m.",720.57,726.39,PRO,4,Chl,720.57,745.03,0.5,0,0
MPD-23-002,726.39,745.03,GND,GND,DYK,MCG,SER,POR,,"greyish to light red, prop alt granodiorite (wildhorse based on previous logs) alt assemblage chl>hem>clay  phenos sizes 2 to 4mm composed of hbl+plag+kspar+-qtz. Hbl mainly alt to chl, plag to clay or hematite.  Xenolithic dark fg clasts observed ""floating"" on some parts of the interval. Late wht masssive cal vein/vlts observed with minor py diss.",726.39,745.03,PRO,5,Chl,,,,,
MPD-23-002,745.03,805.37,DIO,DIO,INT,FG,XEN,,,"grey to green, fine grained, weakly prop altered Diorite. Alt assemblage of chl>carb>hem+-clay. Carbonate fillings uphole>downhole. Pervasive chl alteration on dark minerals and on groundmass. Trace clay alteration mainly near fractures. Weakly magnetic on some parts. Minor hematite stains and stringers observed as well. Phenocrysts observed hbl+plag+-buff orange, soft possibly kspar altered to clay with size ~<1mm.  Interval from 745.03m to 759m noted to have more calcite fillings possibly indicating a more fractured zone with 1% py patches and stringers and 0.1 ccp blebs.  From 759 to 789.58m trace py. Minor wht massive calcite overprinted by kspar alt with bleb of ccp noted from ~768.4m. From 789.58m minor alt change observed from prop to chl+carb+ser+py to 791.21m, this interval observed to have at least 2 phases of calcite veining.",745.03,789.59,PRO,3,Chl,745.03,759,1,0.1,0
,,,,,,,,,,,789.59,791.21,PHY,3,Ser,759,789.58,0.1,0,0
,,,,,,,,,,,791.21,805.37,PRO,3,Chl,789.58,791.21,2,0,0
MPD-23-002,805.37,807.5,MAD,MAD,DYK,FMG,POR,,,"grey to green, fine grained, porphyritic hbl andesite dyke. Weakly prop altered. 0.25% of late wht massive cal stringers. Noted some trace epi+py stringers. Alt assemblage of chl>carb",805.37,807.5,PRO,2,Chl,805.37,821,0.5,0,0
MPD-23-002,807.5,822,DIO,DIO,INT,FMG,XEN,,,"grey to green, fine to med grained, prop alt Diorite.  Alt assemblage chl>epi>carb+-hem. Chlorite more pervasive alteration, while epidote observed in patches and on fractures.weak carb alt on some parts. Hem on some fractures Minor py disseminations noted, with cluster of fg pyrite noted on some parts. 0.01% Blebs and stringers of ccp noted as well from 821m to 822m. 2cm of dark med grained xenolith noted from ~815.3m.  Phenocrysts varies from ~1 to 2mm. Composed of hbl+plag.",807.5,822,PRO,3,Chl+ep,821,822,0.1,0,0
MPD-23-002,822,849.12,DIO,DIO,INT,FMG,SER,XEN,,"grey to greenish, fine to medium grained (seriate phyric) prop alt Diorite.  Alt assemblage chl>hem>carb>epi. Chlorite alt on dark minerals, hematitic and carb alt on light minerals, with patches of epi on some parts and on fractures. Pheno sizes varies with general size of ~1mm. Some amphiboles are larger than others with size up to ~2 to 3mm. 0.1% of fg ccp occurs as stringers and blebs. The ccp observed to have occurred two ways, one is a stringer or blebs occurs alone and reactivated by calcite. The other one occurs as disseminations with epi. Not sure if these are different phases tho.  0.5% of wht massive calcite vein/vlts observed through the interval.  0.1% green epi stringers noted as well. Not all epi occurs with ccp.  0.5% patches of py disseminated throughout the interval.",822,849.12,PRO,4,Chl+ep,822,849.12,0.5,0.05,0
MPD-23-002,849.12,855,DIO,DIO,FLT,FMG,SER,,,"grey to greenish, fine to medium grained (seriate phyric) prop alt Diorite.  Interval started faulted with minor gouge. Not sure if the fault brought the mineralization or the ccp was already there and was reactivated or destroyed by the fault. The interval has a minor alteration change than the previous meter.  Alt assemblage chl>carb>clay+-ser chl+carb alt is pervasive while clay+-ser is more prominent on fractures and on fault zone.  Average ~3cm of wht, massive cal-qtz vein/veinlets and 0.5% py diss observed from 849.12m to 859.09m.  Ccp observed as patches and blebs on fractures and edges of some veins.  From~853m, a ~3cm matrix supported cal+qtz hbx noted with ~0.2% patches of ccp as veinlets and onfractures and edges (this includes a 1cm fg ccp veinlet from ~854.1m) Clasts composed of the host rocks. Both angle of veinlet and hbx seems to be parallel along the drillhole.",849.12,855,ARG,3,Clay+ser,849.12,855,0.5,0,0
MPD-23-002,855,924,DIO,DIO,INT,FMG,SER,XEN,,"grey to greenish, fine to medium grained (seriate phyric) prop alt Diorite pheno sizes range ~1mm to 2mm. Observed some dark, xenolithic clasts on some parts. Amphiboles such as hbl noted much larger than the other phenos, hence the seriate texture phenos observed mostly of hbl+plag+-qtz alt assemblage chl>cerb>hem+-epi. Minor hem stringers observed. Lower epi alt than previous intervals. More hematitic in this section.  1% wht massive cal vein/veinlets 0.1% py diss, minor ccp on localize qtz+cal veinlets, observed ccp as well at ~887-890m on dark phenos as finely disseminated, possibly the reason behind high background values from XRF. Hole completed. EOH",855,924,PRO,3,Chl+ep,855,882,0.1,0.1,0
,,,,,,,,,,,,,,,,882,883,0.5,0,0
,,,,,,,,,,,,,,,,883,900,0.1,0,0
MPD-23-003,0,27,CL,CL,NC,,,,,"No core recovered, hit bedrock at 27m.",,,,,,,,,,
MPD-23-003,27,38,DIO,DIO,INT,FG,,,,"grey to green, fine grained, scc altered diorite. Chlorite pervasive alteration while serecite+clay is replacing light minerals. Calcite on fractures observed. The interval is strongly broken. 2% py disseminations with trace py+ccp as stringers",27,38,SCC,3,Chl>ser>cly,27,38,2,0,0
MPD-23-003,38,39,CL,CL,NC,,,,,pushed casing to 39m. No core recovered.,,,,,,,,,,
MPD-23-003,39,93.51,DIO,DIO,INT,FG,POR,,,"grey to green, fine grained, scc altered diorite. (Chl>ser>clay+py) Chlorite pervasive alteration while serecite+clay is replacing light minerals. Calcite on fractures observed. The interval is strongly broken. Phenos observed to be altered hbl+plag+-kspar with size ranges from ~1 to 2mm. Plagioclase generally altered to clay/serecite are larger than most phenos making it look like a porphyritic andesite, generally noticeable on some parts. Noted some kspar that has been altered to clay with its remnant structure and color on the edges. It can be observed that the primary alteration possibly was propylitic (chl+carb) and has been overprinted by serecite+clay+py - observed ""vugs"" where some of the phenos have been, and has been replaced by serecite+clay/py. Not sure if the ccp is late or earlier and was mobilized by the serecite+clay alteration. Interval has 10% fg py disseminations, 0.1 to 0.2% ccp observed as stringers and replacement to some altered phenos (this is more observed from 47m to 74m). Minor hem on fractures observed. 5cm buff beige (kspar?) clast observed at 89.3m with py+ccp veinlet.",39,93.51,SCC,3,Chl>ser>cly,39,47,10,0.01,0
,,,,,,,,,,,,,,,,47,74,10,0.1,0
,,,,,,,,,,,,,,,,74,93.51,5,0.05,0
MPD-23-003,93.51,98,DIO,DIO,INT,FMG,SER,,,"wht to light grey with green on some spots, fine to medium grained, argillic altered diorite. Minor Chloritic alteration on dark phenos that can be observed on some spots of the interval possibly indicating prop was the original alt overprinted by argillic. The argillic alteration is pervasive and texture destructive. Alt assemblage (clay>ser+-bio). 0.1% ccp observed on phenos and as stringers observed.",93.51,98,ARG,5,Clay>ser,93.51,98,0,0.05,0
MPD-23-003,98,121.15,DIO,DIO,INT,FMG,SER,,,"greyish to green, fine to medium grained, chl>carb>ser alt diorite. Chlorite+carb alteration (prop) is much more pervasive in this interval than the serecite replacing the light minerals. Some serecite can be observed on fractures as well. Interval is still mod to strongly broken. 1% blebs of pyrite and disseminations with trace blebs of ccp, the mineralization is less compared to the previous interval. Wht massive calcite veins is still observed.",98,121.15,PRO,4,Chl,98,121.15,1,0.01,0
MPD-23-003,121.15,123.51,DIO,DIO,INT,FMG,SER,,,"beige to light green, fine to med grained, potassic alt diorite. The potassic alteration is overprinting the primary chlorite+carb alteration. 5% py with 0.2% ccp. Minor ""vuggy"" texture observed, seems that the stringers and some phenos are washed out. The interval is still strongly broken.",121.15,123.51,POT,3,Kspar,121.15,123.51,5,0.2,0
MPD-23-003,123.51,133.18,DIO,DIO,INT,FMG,SER,,,"light green to cream, fine grained to med grained, ser>clay>chl>carb+-pot alt diorite. Fault zone ended at this interval. Scc+py alt is pervasive. Minor kspar alteration with trace ccp.",123.51,133.18,PHY,4,Ser>cly>py,123.51,133.18,1,0.01,0
MPD-23-003,133.18,196.04,DIO,DIO,INT,FMG,SER,,,"light green to cream, fine to medium grained, ser>clay>chl with weak mag+pot+-bt alt Diorite. Weak chl+carb alt overprinted by pervasive serecite+clay alteration, almost argillic. Phenos observed composed of altered hbl+plag. Pheno sizes range from ~<1mm to 1mm, with dark minerals altered to chl some to weak magnetite. Light minerals are altered to ser+clay. Potassic alteration observed to be migrating from fractures and increasing downhole and more prominent as well from 179m. 5% Wht massive to comb texture gypsum veins started at 133.18m, after the fault - it can be observed that it cuts through the potassic alteration and some py+ccp veins with calcite on selvages. Gypsum as stringers/veinlets/stockworks is increasing downhole. Ser+clay alteration intensity increasing downhole (moreso from 155m - 191m) mineralization of 1-2% fg py disseminations and blebs with fg ccp occurs as stringers and blebs and observed to be localized on or near fractures usually cut by gypsum (possibly reactivated or destroyed by gypsum). First noted bn at 180.9m as fg on the interstices of dark minerals, localized near fractures and kspar+secondary bt.. Hematite on fractures also observed.",133.18,155,PHY,3,Ser>cly>py,133.18,161,1,0.1,0
,,,,,,,,,,,155,179,PHY,4,Ser>cly,161,180.9,0.1,0.1,0
,,,,,,,,,,,179,196.04,POT,4,Kspar,180.9,196.04,0.1,0.1,0.1
MPD-23-003,196.04,207.86,DIO,DIO,BX,FMG,SER,,,"cream to light green-grey, monomictic, clast supported dioritic (magmatic?) breccia(?), kspar+bt>ser+chl alt. The interval observed to have increased potassic alteration, increased gypsum+cal+ser veinlet/stockworks. The interval is pervasively altered, texture destructive. The clasts observed to be light buff cream colored, subangular to subrounded, set in a rockflour matrix. Clasts size varies from 0.5cm to 4cm, clay+kspar+-bt alt. Kspar+bt alteration is stronger and pervasive but still migrating from fractures. From 203.8m, observed a 0.5cm of monomictic hbx set with wallrock as clasts set in calcite+clay+kspar matrix no sulfides noted but observed to be cut by late wht massive gypsum veinlet. From 206.35m to 207.86, argillic to potassic alt fault breccia noted.",196.04,207.85,POT,4,Kspar+bt,196.04,206.35,0.1,0,0
,,,,,,,,,,,207.85,233.29,PHY,3,Ser+clay,,,,,
MPD-23-003,207.86,233.29,DIO,DIO,INT,FMG,POR,,,"grey to greenish, fine to med grained, ser>chl alt diorite porphyry. Plagioclase as phenos set on a fine grained matrix. Plag sizes ranges from ~<1mm to 1mm and is mostly ser-clay altered. Chl alteration is pervasive but possibly the original alteration and ser+clay was an overprint/replacement. 5% of wht massive gypsum veins/veinlets still in this interval. ~5cm of pink-wht kspar vein replaced by why massive gypsum noted at ~223.35m. Interval is weak to modrerately magnetic. 0.5% ox patches of py+mag+-ccp/bn observed near fractures and veins, moreso at ~228m.",,,,,,206.35,233.29,0.1,0.1,0.1
MPD-23-003,233.29,260.9,DIO,DIO,INT,FMG,XEN,POR,,"green to beige (buff brown), fine to medium grained, diorite? The interval looks like a breccia considering the amount of xenoliths present within the rock. Xenoliths sizes varies from ~1cm to 17cm, observed as med dark, fine grained, andesite/diorite porphyry? The phenos in the xenoliths observed to be plag altered to chl and elongated monoclinic, possibly pyroxene set in a fine grained dark matrix. The xenoliths are - magnetic and mineralized with vfg ox py+ccp+-bn as can be seen under a microscope and also uniform, meaning its one type of rock set in a fine grained, brown to beige, sericite+clay alt (different) intrusive rk (not sure what the litho is since the texture is already destroyed but possibly still diorite). 0.2% of ox mg+bn+-ccp/py noted as stringers and blebs disseminated throughout the interval. 5% wht massive gypsum veins observed as well.  No xenoliths noted from ~255.94m to 260.9. lith is the same as the xenos.",233.29,260.9,PHY,3,Ser,233.29,269.33,0.01,0.01,0.3
MPD-23-003,260.9,269.33,DIO,DIO,FLT,FMG,POR,,,"buff brown to beige with green on some parts, faulted diorite porphyry. Alt assemblage of ser>chl>clay+mg>py. Healed fault interval with clay alteration due to faulted nature. Kspar is localized on veins and fracture zones. Hematite also noted as stringers. 0.1% of bn patches/stringers obsereved and 0.10m of pink-wht kspar+gypsum vein at ~268.7m.",260.9,269.33,ARG,4,Clay+ser,,,,,
MPD-23-003,269.33,302,DIO,DIO,INT,FMG,POR,,,"cream to green, fine to medium grained, diorite porphyry. Phenos observed to be ~<1mm to 1mm plag+pyroxene altered to ser>chl>clay. Fine grained matrix altered pervasively to chl+carb alt. ser>clay alteration is also pervasive on some parts with minor hematite. Hematite is increasing downhole moreso from ~297 to 302m. Intervals that are pale cream in color observed to have (secondary?) biotite altered to magnetite with bn on the interstices or bn altering mt? (possible sequence would be bt to mt to bn).  From ~296.3m a ~0.41m of wht-pink matrix supported, monomictic hbx. Clasts are subangular to angular, 10:90 clast to matrix ratio, purple in color. Matrix composed of wht massive-comb gypsum vein with calcite on the edges,and 0.1% vfg patches/stringer of mg+hem+bn. Mineralization observed to be joined together in one space (possibly mobilized by gypsum) and not disseminated throughout the hbx.   Weak mg alteration on some spots observed as well. Minor fault from ~283 to 283.5m downhole dtca of 40deg.         Minor fault from ~283 to 283.5",269.33,302,PHY,3,Ser+clay,269.33,302,0,0,0.3
MPD-23-003,302,316.7,DIO,DIO,INT,FMG,POR,,,"green to grey, fine grained to med grained, prop alt diorite. Alt assemblage chl>carb>ser+py. Chl+carb is pervasive and is a primary alteration, sericite+-clay is generally on light minerals and on fractures. 1% wht massive gypsum veinlets notd within the interval, less than the previous ones, 0,5% wht massive calcite veinlets observed as well.  At ~306m a 3cm of wht soft calcite+ser+kspar veinlet observed with hematite on selvages. 0.1% fg py disseminates which is localized to near fractured/veinlet zone at ~307m. 0.1% fg ccp on the selvage of gypsum+kspar vein at ~315.3m.",302,316.7,PRO,3,Chl,302,316.7,0,0.1,0
MPD-23-003,316.7,326.53,DIO,DIO,FLT,FMG,,,,"light to pale green, fine grained to med grained, faulted, chl>carb>clay+-ser alt diorite. The clay alteration is generally structural driven since the interval is faulted(healed)/sheared. 0.1% fg py as stringers 0.1% blebs of ccp and 0.1% bn as stringer fills noted within the interval. 1% wht massive cal+ser veinlet. 0.5% wht massive gypsum veins.",316.7,326.53,ARG,3,Clay+ser,316.7,326.53,0,0.1,0
MPD-23-003,326.53,339.67,DIO,DIO,INT,FMG,,,,"green to grey, fine to med grained, prop (chl>carb>hem) alt diorite. Phenos combosed of hbl+plag set in a finer grained matrix. Possibly different lithology than the diorite above. 0.1% wht massive gypsum veins noted, way lesser than the ones above. 5% wht massive calcite veinlets, higher density than the interval above.",326.53,339.67,PRO,4,Chl,326.53,339.67,0,0,0
MPD-23-003,339.67,373.08,DIO,DIO,INT,FMG,,,,"pale grey to greenish, fine to medium grained, potassic overprinted by argillic (clay>chl>ser+-hem>kspar>bt) Diorite.  Phenos on less altered observed to be ~<1mm to 1mm hbl+plag+second bt+-qtz.  From 339.67 to 346 and 353 to 370.6m - these interval are more argillic in alteration, observed to be light colored with biotite noticeable set in a fg light matrix. Some biotite are weakly altered to hematite>mag, while the rest of the rk is altered to ser>chl>clay. While from 346 to 353 and 370.6 to 373.08, noticeable kspar>bt+-clay>chl>ser alteration. It has been observed that there is a transition between the potassic alteration to argillic alteration. Healed fault from 359.5m to 364m and another Healed fault from 366.8m to 370m -these fault are next to the argillic altered diorite and possibly associated with the alteration overprint.  Hematite stringers/veinlets can be observed on some parts. 0.1% ccp as blebs on fractures and selvages of wht mas albite+-qtz,cal vl (from 353-356m and 365-368m) which is also noted generally on the argillic alteration. 1% wht massive calcite veinlets observed throughout the interval including 0.5% wht-pink kspar+calcite veinlet observed as well at ~345.5m.",339.67,346,PHY,4,Ser+clay,339.67,353,0,0,0
,,,,,,,,,,,346,353,PHY,3,Ser+clay,353,356,0,0.1,0
,,,,,,,,,,,353,370.6,PHY,4,Ser+clay,356,365,0,0,0
,,,,,,,,,,,370.6,373.08,PHY,3,Ser+clay,,,,,
MPD-23-003,373.08,450.6,GND,GND,DYK,MCG,POR,SER,XEN,"Post-mineral, med to coarse grained, red>brown>purple in color, hem>clay altered Granodiorite? (feldspar porphyry) Phenos observed to be 2-5mm in size (seriate phyric), subhedral to euhedral, composed of plag+-kspar>hbl+qtz+bt. Plag and qtz generally altered to hem+clay+ser, while hbl and bt is altered to chl+clay. Some bt are being altered to hematite as well. Other intervals are less hematitic than others, but still argillic in nature from 401.6m to 405.10m (chl>clay+-hem). 2% wht massive albite+cal+-qtz veins/veinlets observed within the interval. No sulfides noted possibly indicating destructive nature of dyke.  No gypsum noted within this lithology, indicating this is post gypsum as well.   Noted xenoliths from 389-396 - composed of gry-wht, (salt/pepper) diorite.  (Authors post sript. Possible that this dyke destroyed bn near contacts)",373.08,401,PHY,4,Ser+clay,373.08,457.38,0,0,0
,,,,,,,,,,,401,405.1,ARG,5,Clay,,,,,
,,,,,,,,,,,405.1,450.6,PHY,4,Ser+clay,,,,,
MPD-23-003,450.6,457.38,DIO,DIO,FLT,FMG,,,,"grey to green, faulted, clay>chl>carb diorite. Contact between the post mineral dyke and this lithology. No mineralization observed.",450.6,457.38,ARG,4,Clay,,,,,
MPD-23-003,457.38,467,DIO,DIO,INT,FMG,SER,POR,,"green speckled with cream, fine to med grained, propylitic alt diorite. Seriate phyric/ porphyritic composed of hbl+augite+plag with size ~<1 to 2mm. Alteration assemblage kspar+bt overprinted by chl>clay+-mt. Observed that the kspar is weakly alt to wht softer clay mineral while dark minerals like hbl+augite altered to chl and bt are weakly altered to mt>hem.  0.5% wht massive albite+-qtz>cal veinlets and stringers. 0.1% blebs of py+ccp observed at 466m cut by wht massive cal>kspar veinlet - possibly originally kspar with py+ccp reworked by calcite. Additionally a late wht massive calcite (centerline) with hem>mt within the selvages of the veinlet at 460.6m.  1cm wht massive gypsum vein noted within the interval.",457.38,467,PRO,3,Chl,457.38,467,0.05,0.05,0
MPD-23-003,467,500.36,DIO,DIO,INT,FMG,POR,XEN,,"cream to light green, fine to med grained, porphyritic diorite. Alteration assemblage pervasive ser>clay>chl>hem. Hematite altering bt almost completely while ser+clay on the groundmass, texture destructive making the interval looked like cream colored rock with spots (hem). On some parts like from 476 to 494 the alteration is weaker and can be observed the possible primary alteration just like from the previous interval (kspar+bt overprinted by chl>clay. Observed that the kspar is weakly alt to wht softer clay mineral while dark minerals like hbl+augite altered to chl, and bt to hem).  2% late massive calcite veins/stringers noted within the inteval. 0.5% of wht barren albite+qtz veins observed.  From 494m to 498m, noteable 1% wht massive qtz>cal veins with fg dark sulfides on fractures and stringers (possibly py) - it can be observed that there are remnants of kspar which is possibly the original vein overprinted by the qtz>cal vein. Xenolith noted at ~477m observed as light green, fg rk.",467,476,PHY,5,Ser+clay,467,500.36,0,0,0
,,,,,,,,,,,476,494,PHY,3,Ser+clay,,,,,
,,,,,,,,,,,494,500.36,PHY,5,Ser+clay,,,,,
MPD-23-003,500.36,613.33,DIO,DIO,INT,FMG,SER,POR,,"green to grey, fine to medium grained, (plag+hbl+aug) porphyritic diorite. Seriate phyric, porphyritic in size. Alteration assemblage is kspar+bt as primary alteration overprinted by chl>carb+-hem,mt alteration. Specular hematite replacing bt also observed from 500.36 to 560m. From 560 to 599, dark minerals are being altered to chl+clay and changed up to 613.33m into weakly altering to magnetite.  Interval has pink-wht kspar+cal veins/veinlet, some replaced by wht massive qz+albite veins and cut by late wht massive calcite veins. Fg and patches of py observed on some spots moreso on fractures. Mineralization is low within this interval with some Mt+ccp stringer noted at ~520.6m and blebs of ccp at ~535.3m.  Red to salmon pink, massive to comb texture, kspar+cal vein observed parallel to core axis at ~ 575.5m.  Encountered minor monomictic, clast supported magmatic(?) bxa with dtca parallel to the core axis. Clasts are composed of angular to subangular, ~1-2cm in size, hematite altered, set in green to dark green rock flour with patches of py observed at ~572.5 to 573m and 585.5 to 586.3m. Increased ccp+py disseminations near fractures/veins noted from 593 to 599m.",500.36,613.33,PRO,4,Chl,500.36,593,0.1,0.1,0
,,,,,,,,,,,,,,,,593,599,0.1,0.1,0
,,,,,,,,,,,,,,,,599,613.33,0,0,0
MPD-23-003,613.33,655,AND,AND,VCB,FG,SER,,,"green to grey, fine grained, prop altered andesite? Seriate phyric texture with hbl observed to be larger on some parts (~1-3mm) while other phenos (plag) are ~<1mm.  Alt assemblage of chl>carb+-ep,mag. Chl>carb alt is pervasive while patches of epidote migrating from the fractures/veins observed, and magnetite and actinolite replacement on some dark (hbl+amphiboles) minerals noted. Start of Gypsum veinlets which has been observed sporadically within this interval. Some oxidized py occurs with mt noted as well.  Interval slowly transitioned to brecciated andesite from 629m to 637m. Monomictic, clast supported (80:20 clast to matrix ratio), subrounded,chaotic, chl>carb>hem altered. Clasts observed to be the similar to wallrock but weakly hematitic altered set in a fine grained-magnetite? Matrix with 0.1% blebs of py+ccp on some fractures with late wht massive calcite cutting through the fractures then from 637 to 655 went back to seriate phyric hbl+plag diorite.   Also observe from 636.8m to 642m a 1% wht to light pink, cal+qtz+-gypsum,albite vein/veinlets with widths varies from ~1-3cm, including  3cm of wht, monomictic, subangular, clast supported, matrix calcite cut by gypsum vein.",613.33,655,PRO,4,Chl+ep,613.33,629,0,0,0
,,,,,,,,,,,,,,,,629,655,0.5,0.1,0
