,Lithology,,,,,,,,,,Alteration,,,,,Mineralization,,,,
"Hole 
Number","From 
(m)","To 
(m)","Base 
Lithology","Litho 
Detailed","Lith 
General","Lith
Grain Size","Lith
Texture1","Lith 
Texture2","Lith
Texture3",Lith Description,"Alt 
From (m)","Alt
To (m)","Dominant 
Alteration",Intensity,Dominant Alt Mins,"Min 
From (m)","Min
To (m)","Py pct
NV*","Ccp pct
NV*","Bn pct
AXE-23-001,599.23,634.37,AND,AND,VCB,FMG,XEN,POR,,med-dark grey to maroon red volcanoclastic andesite. Same volcanoclastic andesite as before with many rounded clasts and a fine-med grained andesite matrix.,599.23,605,ARG,3,Clay+hem,602.65,634.37,0.6,0.1,0
,,,,,,,,,,,605,617.85,ARG,1,Clay+hem,,,,,
,,,,,,,,,,,617.85,634.37,ARG,3,Clay+hem,,,,,
AXE-23-001,634.37,651.35,AND,AND,SVI,FMG,TRA,SER,XEN,"med-dark grey andesite. Zones of fine and med grained crystals are present, probably due to multiphasic volcanic events. Some phenos have a trachytic alignment. ~2mm acicular hornblende phenos and some smaller plag phenos occassionally seen. Rare sub-rounded clasts seen up to 4cm in size. Top contact looks like it's relatively sharp with possible shearing above it in the previous unit.",634.37,651.35,PRO,4,Act+chl+ep,634.37,650,0.5,0,0
AXE-23-001,651.35,683.06,AND,AND,VCB,FMG,XEN,,,dark-med grey green and red volcanoclastic andesite. This unit is practically identical to the volcanoclastic andesite that occurred above the andesite.,651.35,658.6,PRO,3,Act+chl+ep,650,653.61,20,0,0
,,,,,,,,,,,658.6,683.06,PRO,3,Ep+act+chl,653.61,683.06,0.5,0.1,0
AXE-23-001,683.06,721.53,AND,AND,SVI,FMG,POR,XEN,,"med-dark grey andesite with green spots of epidote throughout. Grain size alternates throughout with some fine grained and some med grained. Some sections where plag and hornblende phenos are up to 2mm in size. Some sections have lots of epidote spotted throughout, possibly replacing the phenos that were there. At ~709-716m there are volcanoclastics that look like the volcanoclastic unit above that come in and out slightly, still looks mostly like andesite and is probably a small event inbetween eruptions.",683.06,709.05,PRO,4,Ep+act+chl,683.06,708,0.5,0.1,0
,,,,,,,,,,,709.05,716.55,PRO,3,Act+chl,,,,,
,,,,,,,,,,,716.55,721.53,PRO,4,Act+chl+/-ep,,,,,
AXE-23-001,721.53,723.45,AND,AND,VCB,FMG,XEN,,,dark-med grey green and red volcanoclastic andesite. This unit is practically identical to the volcanoclastic andesite that occurred above the andesite once again.,721.53,723.45,PRO,4,Ep+act+chl,708,723.45,0.8,0.1,0
AXE-23-001,723.45,724.21,AND,AND,DYK,FG,CHL,,,"med grey andesite dyke. Fine grained, chill margins at the edges, no visible phenos, no visible amygdules. Top contact is 38 dtca",723.45,724.21,PRO,3,Act+chl,723.45,724.21,0.05,0,0
AXE-23-001,724.21,732,AND,AND,VCB,FMG,XEN,,,dark-med grey green and red volcanoclastic andesite. This unit is practically identical to the volcanoclastic andesite that occurred above the andesite dyke once again. EOH at 732m,724.21,732,PRO,4,Ep+act+chl,724.21,732,0.35,0,0
AXE-23-002,0,2,OVB,OVB,NC,,,,,"overburden, no core recovered",,,,,,,,,,
AXE-23-002,2,6,CL,CL,NC,,,,,"Bedrock hit at 2m, no core recovered",,,,,,,,,,
AXE-23-002,6,41,AND,AND,VCB,FMG,XEN,POR,,"med-dark grey volcanic breccia andesite. Some large clasts in andesite matrix up to 8cm. Andesite is fine-med grained, some sections that look like micro diorite with plag and hornblende phenos visible up to ~2mm. Some flting and broken rock making it difficult to see textures in the rock. Wk-mod magnetism throughout in patches",6,41,PRO,5,Act+ep+/-chl,6,41,0.5,0.2,0
AXE-23-002,41,55.93,AND,AND,VCB,FMG,XEN,POR,,"light-dark green to black skarn. Protolith looks to be possibly a volcanoclastic andesite or diorite, most texture have been replaced by skarn minerals. Some shapes that look like sub-rounded clasts occassionaly seen. Some sections with lots of garnets replacing most of the original rock",41,55.93,SKN,5,Garnet+magnetite,41,55.93,0.8,0.2,0
AXE-23-002,55.93,86.95,AND,AND,VCB,FMG,XEN,POR,,"light-med grey and green volcanoclastic andesite. Fine-med grained throughout with some spots that look like diorite and others that look like andesite, could be due to clasts. Some phenos of hornblende and possibly plag seen, alteration and broken up rock obscuring most features.",55.93,60.5,SKN,4,Garnet+magnetite,55.93,60.5,0.2,0,0
,,,,,,,,,,,60.5,72,ARG,4,Clay,60.5,86.95,0.2,0.1,0
,,,,,,,,,,,72,86.95,SKN,4,Magnetite,,,,,
AXE-23-002,86.95,104,DIO,DIO,INT,FMG,XEN,POR,,"med-dark green to grey diorite. This unit starts out fairly skarn altered so the texture is hard to distinguish, but a fine-med grained groundmass is visible with what looks like phenos. Some plag and hornblende phenos up to ~2mm observed. Some of this unit has faulting and shearing which makes the texture harder to distinguish and some looks to be deformed by shearing. Some of what looks like clasts near faulted zones but ep/skarn/phyllic alteration is making them difficult to distinguish.",86.95,92.9,SKN,4,Magnetite,86.95,97.55,0.5,0,0
,,,,,,,,,,,92.9,107.2,PHY,4,Qtz+ser+py,97.55,108.35,3,0,0
,,,,,,,,,,,107.2,110.4,PHY,5,Ser+py+/-qtz,,,,,
,,,,,,,,,,,110.4,121.2,SKN,3,Magnetite,,,,,
,,,,,,,,,,,121.2,125.53,PRO,4,Act+chl+ep,,,,,
,,,,,,,,,,,125.53,137,ARG,5,Clay+py,,,,,
AXE-23-002,104,105,CL,CL,NC,,,,,Core was lost due to drillers needing to tricone through and advance casing to 105m,,,,,,,,,,
AXE-23-002,105,134,DIO,DIO,INT,FMG,XEN,POR,,"med-dark green to grey diorite. Same type of diorite as above the lost core interval. Some of this unit has faulting and shearing which makes the texture harder to distinguish and some looks to be deformed by shearing. Some of what looks like clasts near faulted zones but ep/skarn/phyllic alteration is making them difficult to distinguish. The bottom of this unit is quite argillically altered so textures are hard to distinguish, with the core loss at the bottom this may be due to a strong fault that wasn't recovered and is probably the end to unit as some of the intact rock still slightly looks like diorite.",,,,,,108.35,110.4,10,2.2,0
,,,,,,,,,,,,,,,,110.4,121.2,0.2,0,0
,,,,,,,,,,,,,,,,121.2,125.53,3,0,0
AXE-23-002,134,135.45,CL,CL,NC,,,,,"driller encountered problems with drilling and had to tricone through this section, no core recovered.",,,,,,,,,,
